"","ccode","country","year","month","time","ins","reb","dpc","erv","ic","notes","coder","insnotes","dpcnotes","rebnotes","ervnotes","icnotes"
"20765",694,"Qatar",2014,1,"2014m1",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20766",694,"Qatar",2014,2,"2014m2",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20767",694,"Qatar",2014,3,"2014m3",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20768",694,"Qatar",2014,4,"2014m4",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20769",694,"Qatar",2014,5,"2014m5",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"21087",698,"Oman",2014,1,"2014m1",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"21088",698,"Oman",2014,2,"2014m2",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"21089",698,"Oman",2014,3,"2014m3",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"21090",698,"Oman",2014,4,"2014m4",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"21091",698,"Oman",2014,5,"2014m5",0,0,0,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20604",692,"Bahrain",2014,1,"2014m1",0,0,1,0,0,"DPC: anti-gov protest.   Opposition groups 9 Jan withdrew from national dialogue talks; talks reconvened next day following intervention by Crown Prince, parties agreed to basis for further negotiations. Hundreds protested in Shiite village Diraz 17 Jan saying talks meaningless (crisis watch).CLASHES erupted between police forces and anti-government protesters after the funeral of a young man, who died in police custody, in the village of Diraz in the west of Bahain?s capital Manama on 26 January, Reuters, reported. Police forces attempted to disperse stone-throwing protesters with teargas and firing in the air. No casualties were reported (jane's).","LC Team"," "," anti-gov protest."," ","",""
"20605",692,"Bahrain",2014,2,"2014m2",0,0,1,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20606",692,"Bahrain",2014,3,"2014m3",0,0,1,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20607",692,"Bahrain",2014,4,"2014m4",0,0,1,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"20608",692,"Bahrain",2014,5,"2014m5",0,0,1,0,0,"","Auto-coded by SAE, Inc.","","","","",""
"19638",660,"Lebanon",2014,1,"2014m1",0,0,0,1,1,"","Auto-coded by SAE, Inc.","","","","",""
"19639",660,"Lebanon",2014,2,"2014m2",0,0,0,1,1,"","Auto-coded by SAE, Inc.","","","","",""
"19640",660,"Lebanon",2014,3,"2014m3",0,0,0,1,1,"INS: terrorist attacks (see below) are interpreted as ERV and not INS.                               ERV: Hizbollah and local residents blocked roads around city prompting protests, road blockings and tyre burnings by Sunni militants elsewhere in Lebanon. Dozens killed in Tripoli during fighting starting 13 March between supporters of rival parties to Syrian conflict; fighting later spread to Beirut, 1 killed in clashes 23 March. Sunni jihadis continued rocket attacks, car bombings inside Lebanon in retaliation for Hizbollah?s involvement in Syria: 2 killed in suicide bombing in Bekaa Valley 16 March, claimed by Jabhat al-Nusra. 3 soldiers killed 29 March in suicide bombing at army checkpoint in Arsal; 2 civilians killed hours later by soldiers at another checkpoint (crisis watch). Additional reports in jane's.                                   IC: Continued spillover from Syrian conflict as Syria?s Assad regime intensified fight with Syrian rebels along Lebanese border. Rebel defeat in Syrian town Yabroud 16 March saw refugees and fighters fleeing to Lebanese city Arsal. Arsal and other Bekaa Valley areas targeted by Syrian regime airstrikes throughout month.  (crisis watch). ","Cohen"," ","","","sectarian violence between various groups","Continued spillover from Syrian conflict "
"19641",660,"Lebanon",2014,4,"2014m4",0,0,0,1,1,"","Auto-coded by SAE, Inc.","","","","",""
"19642",660,"Lebanon",2014,5,"2014m5",0,0,0,1,1,"","Auto-coded by SAE, Inc.","","","","",""
