"","Event.ID","Source.Name","Source.Sectors","Source.Country","Event.Text","CAMEO.Code","Intensity","Target.Name","Target.Sectors","Target.Country","Story.ID","Sentence.Number","Publisher","City","District","Province","Country","Latitude","Longitude","Event.Date_1","Event.Date_2","Event.Date_3"
"1",8843522,"Yemen","","Yemen","Engage in diplomatic cooperation",50,3.5,"Canada","","Canada",2788579,1,"Organisation of Asia-Pacific News Agencies","Ottawa","","Ontario","Canada",45.4112,-75.6981,2005,6,1
"2",8843674,"Iraq","","Iraq","Make pessimistic comment",12,-0.4,"Syria","","Syria",2789568,1,"Agence France-Presse","Damascus","","Dimashq","Syria",33.5102,36.2913,2005,6,1
"3",8843711,"Head of Government (Iraq)","Executive,Government,Executive Office","Iraq","Demonstrate military or police power",150,-7.2,"Iraq","","Iraq",2789773,4,"Agence France-Presse","","","Washington D.C.","Iraq",38.9171,-77.0003,2005,6,1
"4",8844500,"Kurdistan Democratic Party","Ideological,(National) Minor Party,Nationalist,Kurd (Ethnic Group),Parties,International Ethnic","Iraq","Make a visit",42,1.9,"Iraq","","Iraq",2794290,1,"BBC Monitoring Middle East","As Sulaymaniyah","","Muhafazat as Sulaymaniyah","Iraq",35.565,45.4329,2005,6,1
"5",8844611,"Jordan","","Jordan","Engage in diplomatic cooperation",50,3.5,"Saudi Arabia","","Saudi Arabia",2794804,2,"Xinhua News Agency","Riyadh","","Mintaqat ar Riyad","Saudi Arabia",24.6877,46.7219,2005,6,1
"6",8844745,"Hamas","Nongovernmental Organization (International),Dissident,Parties,(National) Major Party","Occupied Palestinian Territory","Conduct strike or boycott",143,-6.5,"Unspecified Actor","Unspecified","",2795280,4,"Xinhua News Agency","Gaza","","Gaza Strip","",31.5,34.4667,2005,6,1
"7",8844815,"Iran","","Iran","Arrest, detain, or charge with legal action",173,-5,"Citizen (United States)","Social,General Population / Civilian / Social","United States",2795605,5,"Agence France-Presse","Tehran","","Tehran Province","United States",35.6944,51.4215,2005,6,1
"8",8844918,"Other Authorities / Officials (Syria)","Government","Syria","Arrest, detain, or charge with legal action",173,-5,"Criminal (Syria)","Dissident,Criminals / Gangs","Syria",2796251,1,"Reuters News","Damascus","","Dimashq","Syria",33.5102,36.2913,2005,6,1
"9",8845141,"Israel","","Israel","Make pessimistic comment",12,-0.4,"Citizen (Germany)","General Population / Civilian / Social,Social","Germany",2797193,6,"Agence France-Presse","Berlin","","Land Berlin","Germany",52.5244,13.4105,2005,6,1
"10",8845164,"Criminal (Syria)","Dissident,Criminals / Gangs","Syria","Use unconventional violence",180,-9,"Citizen (Syria)","Social,General Population / Civilian / Social","Syria",2797298,1,"BBC Monitoring Newsfile","Damascus","","Dimashq","Syria",33.5102,36.2913,2005,6,1
