"","Event.ID","Source.Name","Source.Sectors","Source.Country","Event.Text","CAMEO.Code","Intensity","Target.Name","Target.Sectors","Target.Country","Story.ID","Sentence.Number","Publisher","City","District","Province","Country","Latitude","Longitude","Event.Date_1","Event.Date_2","Event.Date_3"
"1",9397696,"Sheikh Hamad bin Isa al Khalifah","Government,Elite","Bahrain","Consult",40,1,"Abdullah bin Abdulaziz al-Saud","Elite,Nongovernmental Organizations / Activists,Business,Executive Office,Executive,Government,Business NGOs,Social,Consulting / Financial Services Business","Saudi Arabia",6497054,1,"Organisation of Asia-Pacific News Agencies","","","Makkah","Saudi Arabia",20.6667,41.3333,2005,11,1
"2",9397724,"Syria","","Syria","Host a visit",43,2.8,"Émile Lahoud","International Religious,Executive Office,Maronite,Military,Government,Executive","Lebanon",6497159,1,"Daily Star","Damascus","","Dimashq","Lebanon",33.5102,36.2913,2005,11,1
"3",9397915,"Saudi Arabia","","Saudi Arabia","Praise or endorse",51,3.4,"Police (Saudi Arabia)","Police,Government","Saudi Arabia",6498385,5,"Bangkok Post","","","","Saudi Arabia",24.6877,46.7219,2005,11,1
"4",9398198,"Islamic Republic News Agency","Government,State Media,Information / Communication / Transparency Ministry,Executive","Iran","Praise or endorse",51,3.4,"Russia","","Russian Federation",6499670,5,"Organisation of Asia-Pacific News Agencies","Tehran","","Tehran Province","Russian Federation",35.6944,51.4215,2005,11,1
"5",9398291,"Foreign Affairs (Syria)","Foreign Ministry,Government,Executive","Syria","Consult",40,1,"Sheikh Khalifa ibn Zaid al Nahayan","Executive Office,Government,Elite,Executive","United Arab Emirates",6499998,3,"Organisation of Asia-Pacific News Agencies","Abu Dhabi","","Abu Zaby","United Arab Emirates",24.4667,54.3667,2005,11,1
"6",9398306,"Military Personnel - Special (Israel)","Government,Military","Israel","Arrest, detain, or charge with legal action",173,-5,"Citizen (Palestinian Territory, Occupied)","General Population / Civilian / Social,Social","Occupied Palestinian Territory",6500044,4,"Al-Bawaba News","","","West Bank","Occupied Palestinian Territory",31.6667,35.25,2005,11,1
"7",9398336,"Head of Government (Iraq)","Government,Executive Office,Executive","Iraq","Make statement",10,0,"Government (Iraq)","Government","Iraq",6500181,6,"Latvian News Agency","Baghdad","","Muhafazat Baghdad","Iraq",33.3406,44.4009,2005,11,1
"8",9398344,"Mahmoud Ahmadinejad","Far Right,Elite,Ideological,Government,Executive Office,(National) Major Party,Executive,Parties","Iran","Criticize or denounce",111,-2,"Government (Iran)","Government","Iran",6500260,2,"BBC Monitoring Middle East","","","","Iran",35.6944,51.4215,2005,11,1
"9",9398461,"Massoud Barzani","International Religious,Kurd (Ethnic Group),Government,Parties,Local,International Ethnic,Provincial,Ideological,Sunni,(National) Minor Party,Nationalist","Iraq","Make a visit",42,1.9,"George W. Bush","(National) Major Party,Center Right,Ideological,Parties,Government,Executive Office,Executive","United States",6500707,1,"Turkish Daily News","Ankara","","Ankara","United States",39.9199,32.8543,2005,11,1
"10",9398619,"Saeb Erekat","Parties,Dissident","Occupied Palestinian Territory","Make statement",10,0,"Ariel Sharon","Parties,(National) Major Party,Ideological,Center Right,Executive Office,International Ethnic,Executive,Government,Jews","Israel",6501491,2,"BBC Monitoring Middle East","","","","Israel",31.9216,35.2033,2005,11,1
"11",9398635,"Military (Palestinian Territory, Occupied)","Military,Government","Occupied Palestinian Territory","Arrest, detain, or charge with legal action",173,-5,"Citizen (Palestinian Territory, Occupied)","General Population / Civilian / Social,Social","Occupied Palestinian Territory",6501643,6,"BBC Monitoring Middle East","Nablus","","West Bank","Occupied Palestinian Territory",32.2211,35.2544,2005,11,1
"12",9398730,"Ariel Sharon","Parties,(National) Major Party,Ideological,Center Right,Executive Office,International Ethnic,Executive,Government,Jews","Israel","Make statement",10,0,"Israel","","Israel",6501933,3,"BBC Monitoring Middle East","Rafah","","Gaza Strip","Israel",31.287,34.2595,2005,11,1
"13",9398819,"Palestinian Territory, Occupied","","Occupied Palestinian Territory","Host a visit",43,2.8,"Mahmoud Abbas","Executive,Elite,Executive Office,Government","Occupied Palestinian Territory",6502314,6,"Reuters News","","","West Bank","Occupied Palestinian Territory",31.6667,35.25,2005,11,1
